
ZONETOLLRATE,ODPAIRNAME                                        ,  ODPAIRID,STARTZONENAME                                     ,STARTZONEID,INTERVALENDDATETI,CURRENTDATETIME  ,ENDZONENAME                                       , ENDZONEID,CORRIDORN,CORRIDORID                                                                      ,CALULCATEDDATETIM,LINKSTATUS          
       19.15,I-495 HOV TO JONES BR                             ,      1090,NB 495 TP Past 95/395 (TP1NB)                     ,     495001,19/07/26 15:00:00,19/07/26 14:55:00,NB 495 TP Before Jones Branch (TP8NB)             ,    495008,I-495-NB ,4951                                                                            ,19/07/26 14:50:00,NO_DETERMINATION    
       20.75,I-495 HOV TO RT 267                               ,      1091,NB 495 TP Past 95/395 (TP1NB)                     ,     495001,19/07/26 15:00:00,19/07/26 14:55:00,NB 495 TP Before Jones Branch (TP8NB)             ,    495008,I-495-NB ,4951                                                                            ,19/07/26 14:50:00,NO_DETERMINATION    
       33.75,I-495 HOV TO I-495 N                              ,      1092,NB 495 TP Past 95/395 (TP1NB)                     ,     495001,19/07/26 15:00:00,19/07/26 14:55:00,NB 495 TP Past Route 267(TP9NB)                   ,    495009,I-495-NB ,4951                                                                            ,19/07/26 14:50:00,NO_DETERMINATION    
        4.55,I-495 NEAR MD TO WESTPARK (C)                     ,      1093,SB 495 TP Before Route 267 (TP9SB)                ,     495109,19/07/26 15:00:00,19/07/26 14:55:00,SB 495 TP Past Jones Branch (TP8SB)               ,    495108,I-495-SB ,4952                                                                            ,19/07/26 14:50:00,NO_DETERMINATION    
       11.60,GARRISONVILLE TO GORDON BLVD VIA I-95             ,      1094,1S-1 NB TP                                        ,     950010,19/07/26 15:00:00,19/07/26 14:55:00,2N-2 NB                                           ,    952420,I-95-NB  ,951                                                                             ,19/07/26 14:50:00,NORTHBOUND_OPEN     
       18.85,GARRISONVILLE TO FAIRFAX COUNTY PKWY (286)        ,      1095,1S-1 NB TP                                        ,     950010,19/07/26 15:00:00,19/07/26 14:55:00,3N-2 NB TP                                        ,    953420,I-95-NB  ,951                                                                             ,19/07/26 14:50:00,NORTHBOUND_OPEN     
       18.85,GARRISONVILLE TO NEWINGTON                        ,      1096,1S-1 NB TP                                        ,     950010,19/07/26 15:00:00,19/07/26 14:55:00,3N-1 NB TP                                        ,    953410,I-95-NB  ,951                                                                             ,19/07/26 14:50:00,NORTHBOUND_OPEN     
       20.70,GARRISONVILLE TO FRAN-SPRINGFIELD PKWY (289)      ,      1097,1S-1 NB TP                                        ,     950010,19/07/26 15:00:00,19/07/26 14:55:00,3N-3 NB TP                                        ,    953430,I-95-NB  ,951                                                                             ,19/07/26 14:50:00,NORTHBOUND_OPEN     
       25.10,GARRISONVILLE TO I-495                            ,      1098,1S-1 NB TP                                        ,     950010,19/07/26 15:00:00,19/07/26 14:55:00,3N-6 NB TP                                        ,    953460,I-95-NB  ,951                                                                             ,19/07/26 14:50:00,NORTHBOUND_OPEN     
       28.50,GARRISONVILLE TO I-395 N                          ,      1099,1S-1 NB TP                                        ,     950010,19/07/26 15:00:00,19/07/26 14:55:00,4-1 NB TP                                         ,    954010,I-95-NB  ,951                                                                             ,19/07/26 14:50:00,NORTHBOUND_OPEN     
        4.60,QUANTICO TO  GORDON BLVD VIA I-95                 ,      1100,2S-1 NB TP                                        ,     952310,19/07/26 15:00:00,19/07/26 14:55:00,2N-2 NB                                           ,    952420,I-95-NB  ,951                                                                             ,19/07/26 14:50:00,NORTHBOUND_OPEN     
       11.90,QUANTICO TO FAIRFAX COUNTY PKWY (286)             ,      1101,2S-1 NB TP                                        ,     952310,19/07/26 15:00:00,19/07/26 14:55:00,3N-2 NB TP                                        ,    953420,I-95-NB  ,951                                                                             ,19/07/26 14:50:00,NORTHBOUND_OPEN     
       11.90,QUANTICO TO NEWINGTON                             ,      1102,2S-1 NB TP                                        ,     952310,19/07/26 15:00:00,19/07/26 14:55:00,3N-1 NB TP                                        ,    953410,I-95-NB  ,951                                                                             ,19/07/26 14:50:00,NORTHBOUND_OPEN     
       13.75,QUANTICO TO FRAN-SPRINGFIELD PKWY (289)           ,      1103,2S-1 NB TP                                        ,     952310,19/07/26 15:00:00,19/07/26 14:55:00,3N-3 NB TP                                        ,    953430,I-95-NB  ,951                                                                             ,19/07/26 14:50:00,NORTHBOUND_OPEN     
       18.15,QUANTICO TO I-495                                 ,      1104,2S-1 NB TP                                        ,     952310,19/07/26 15:00:00,19/07/26 14:55:00,3N-6 NB TP                                        ,    953460,I-95-NB  ,951                                                                             ,19/07/26 14:50:00,NORTHBOUND_OPEN     
       21.55,QUANTICO TO I-395 N                               ,      1105,2S-1 NB TP                                        ,     952310,19/07/26 15:00:00,19/07/26 14:55:00,4-1 NB TP                                         ,    954010,I-95-NB  ,951                                                                             ,19/07/26 14:50:00,NORTHBOUND_OPEN     
        3.70,CARDINAL TO GORDON BLVD VIA I-95                  ,      1106,2N-0 NB TP                                        ,     952400,19/07/26 15:00:00,19/07/26 14:55:00,2N-2 NB                                           ,    952420,I-95-NB  ,951                                                                             ,19/07/26 14:50:00,NORTHBOUND_OPEN     
       10.95,CARDINAL TO FAIRFAX COUNTY PKWY (286)             ,      1107,2N-0 NB TP                                        ,     952400,19/07/26 15:00:00,19/07/26 14:55:00,3N-2 NB TP                                        ,    953420,I-95-NB  ,951                                                                             ,19/07/26 14:50:00,NORTHBOUND_OPEN     
       10.95,CARDINAL TO NEWINGTON                             ,      1108,2N-0 NB TP                                        ,     952400,19/07/26 15:00:00,19/07/26 14:55:00,3N-1 NB TP                                        ,    953410,I-95-NB  ,951                                                                             ,19/07/26 14:50:00,NORTHBOUND_OPEN     
       12.80,CARDINAL TO FRAN-SPRINGFIELD PKWY (289)           ,      1109,2N-0 NB TP                                        ,     952400,19/07/26 15:00:00,19/07/26 14:55:00,3N-3 NB TP                                        ,    953430,I-95-NB  ,951                                                                             ,19/07/26 14:50:00,NORTHBOUND_OPEN     
       17.20,CARDINAL TO I-495                                 ,      1110,2N-0 NB TP                                        ,     952400,19/07/26 15:00:00,19/07/26 14:55:00,3N-6 NB TP                                        ,    953460,I-95-NB  ,951                                                                             ,19/07/26 14:50:00,NORTHBOUND_OPEN     
       20.60,CARDINAL TO I-395 N                               ,      1111,2N-0 NB TP                                        ,     952400,19/07/26 15:00:00,19/07/26 14:55:00,4-1 NB TP                                         ,    954010,I-95-NB  ,951                                                                             ,19/07/26 14:50:00,NORTHBOUND_OPEN     
        1.75,OPITZ TO GORDON BLVD VIA I-95                     ,      1112,2N-2 NB TP                                        ,     952420,19/07/26 15:00:00,19/07/26 14:55:00,2N-2 NB                                           ,    952420,I-95-NB  ,951                                                                             ,19/07/26 14:50:00,NORTHBOUND_OPEN     
        9.00,OPITZ TO FAIRFAX COUNTY PARKWAY (286)             ,      1113,2N-2 NB TP                                        ,     952420,19/07/26 15:00:00,19/07/26 14:55:00,3N-2 NB TP                                        ,    953420,I-95-NB  ,951                                                                             ,19/07/26 14:50:00,NORTHBOUND_OPEN     
        9.00,OPITZ TO NEWINGTON                                ,      1114,2N-2 NB TP                                        ,     952420,19/07/26 15:00:00,19/07/26 14:55:00,3N-1 NB TP                                        ,    953410,I-95-NB  ,951                                                                             ,19/07/26 14:50:00,NORTHBOUND_OPEN     
       10.85,OPITZ TO FRAN-SPRINGFIELD PKWY (289)              ,      1115,2N-2 NB TP                                        ,     952420,19/07/26 15:00:00,19/07/26 14:55:00,3N-3 NB TP                                        ,    953430,I-95-NB  ,951                                                                             ,19/07/26 14:50:00,NORTHBOUND_OPEN     
       15.25,OPITZ TO I-495                                    ,      1116,2N-2 NB TP                                        ,     952420,19/07/26 15:00:00,19/07/26 14:55:00,3N-6 NB TP                                        ,    953460,I-95-NB  ,951                                                                             ,19/07/26 14:50:00,NORTHBOUND_OPEN     
       18.65,OPITZ TO I-395 N                                  ,      1117,2N-2 NB TP                                        ,     952420,19/07/26 15:00:00,19/07/26 14:55:00,4-1 NB TP                                         ,    954010,I-95-NB  ,951                                                                             ,19/07/26 14:50:00,NORTHBOUND_OPEN     
        7.60,PRINCE WILLIAM TO FAIRFAX COUNTY PKWY (286)       ,      1118,                                                  ,     952430,19/07/26 15:00:00,19/07/26 14:55:00,3N-2 NB TP                                        ,    953420,I-95-NB  ,951                                                                             ,19/07/26 14:50:00,NORTHBOUND_OPEN     
        7.60,PRINCE WILLIAM TO NEWINGTON                       ,      1119,                                                  ,     952430,19/07/26 15:00:00,19/07/26 14:55:00,3N-1 NB TP                                        ,    953410,I-95-NB  ,951                                                                             ,19/07/26 14:50:00,NORTHBOUND_OPEN     
        9.45,PRINCE WILLIAM TO FRAN-SPRINGFIELD PKWY (289)     ,      1120,                                                  ,     952430,19/07/26 15:00:00,19/07/26 14:55:00,3N-3 NB TP                                        ,    953430,I-95-NB  ,951                                                                             ,19/07/26 14:50:00,NORTHBOUND_OPEN     
       13.85,PRINCE WILLIAM TO I-495                           ,      1121,                                                  ,     952430,19/07/26 15:00:00,19/07/26 14:55:00,3N-6 NB TP                                        ,    953460,I-95-NB  ,951                                                                             ,19/07/26 14:50:00,NORTHBOUND_OPEN     
       17.25,PRINCE WILLIAM TO I-395 N                         ,      1122,                                                  ,     952430,19/07/26 15:00:00,19/07/26 14:55:00,4-1 NB TP                                         ,    954010,I-95-NB  ,951                                                                             ,19/07/26 14:50:00,NORTHBOUND_OPEN     
        5.65,GORDON TO FAIRFAX COUNTY PKWY (286)               ,      1123,3S-1 NB TP                                        ,     953310,19/07/26 15:00:00,19/07/26 14:55:00,3N-2 NB TP                                        ,    953420,I-95-NB  ,951                                                                             ,19/07/26 14:50:00,NORTHBOUND_OPEN     
        5.65,GORDON TO NEWINGTON                               ,      1124,3S-1 NB TP                                        ,     953310,19/07/26 15:00:00,19/07/26 14:55:00,3N-1 NB TP                                        ,    953410,I-95-NB  ,951                                                                             ,19/07/26 14:50:00,NORTHBOUND_OPEN     
        7.50,GORDON TO FRAN-SPRINGFIELD PKWY (289)             ,      1125,3S-1 NB TP                                        ,     953310,19/07/26 15:00:00,19/07/26 14:55:00,3N-3 NB TP                                        ,    953430,I-95-NB  ,951                                                                             ,19/07/26 14:50:00,NORTHBOUND_OPEN     
       11.90,GORDON TO I-495                                   ,      1126,3S-1 NB TP                                        ,     953310,19/07/26 15:00:00,19/07/26 14:55:00,3N-6 NB TP                                        ,    953460,I-95-NB  ,951                                                                             ,19/07/26 14:50:00,NORTHBOUND_OPEN     
       15.30,GORDON TO I-395 N                                 ,      1127,3S-1 NB TP                                        ,     953310,19/07/26 15:00:00,19/07/26 14:55:00,4-1 NB TP                                         ,    954010,I-95-NB  ,951                                                                             ,19/07/26 14:50:00,NORTHBOUND_OPEN     
        4.05,US 1 TO FAIRFAX COUNTY PKWY (286)                 ,      1128,3S-2 NB TP                                        ,     953320,19/07/26 15:00:00,19/07/26 14:55:00,3N-2 NB TP                                        ,    953420,I-95-NB  ,951                                                                             ,19/07/26 14:50:00,NORTHBOUND_OPEN     
        4.05,US 1 TO NEWINGTON                                 ,      1129,3S-2 NB TP                                        ,     953320,19/07/26 15:00:00,19/07/26 14:55:00,3N-1 NB TP                                        ,    953410,I-95-NB  ,951                                                                             ,19/07/26 14:50:00,NORTHBOUND_OPEN     
        5.90,US 1 TO FRAN-SPRINGFIELD PKWY (RT 289)            ,      1130,3S-2 NB TP                                        ,     953320,19/07/26 15:00:00,19/07/26 14:55:00,3N-3 NB TP                                        ,    953430,I-95-NB  ,951                                                                             ,19/07/26 14:50:00,NORTHBOUND_OPEN     
       10.30,US 1 TO I-495                                     ,      1131,3S-2 NB TP                                        ,     953320,19/07/26 15:00:00,19/07/26 14:55:00,3N-6 NB TP                                        ,    953460,I-95-NB  ,951                                                                             ,19/07/26 14:50:00,NORTHBOUND_OPEN     
       13.70,US 1 TO I-395 N                                   ,      1132,3S-2 NB TP                                        ,     953320,19/07/26 15:00:00,19/07/26 14:55:00,4-1 NB TP                                         ,    954010,I-95-NB  ,951                                                                             ,19/07/26 14:50:00,NORTHBOUND_OPEN     
        1.75,LORTON TO NEWINGTON                               ,      1133,3N-1 NB TP                                        ,     953410,19/07/26 15:00:00,19/07/26 14:55:00,3N-1 NB TP                                        ,    953410,I-95-NB  ,951                                                                             ,19/07/26 14:50:00,NORTHBOUND_OPEN     
        3.60,LORTON TO FRAN-SPRINGFIELD PKWY (289)             ,      1134,3N-1 NB TP                                        ,     953410,19/07/26 15:00:00,19/07/26 14:55:00,3N-3 NB TP                                        ,    953430,I-95-NB  ,951                                                                             ,19/07/26 14:50:00,NORTHBOUND_OPEN     
        8.00,LORTON TO I-495                                   ,      1135,3N-1 NB TP                                        ,     953410,19/07/26 15:00:00,19/07/26 14:55:00,3N-6 NB TP                                        ,    953460,I-95-NB  ,951                                                                             ,19/07/26 14:50:00,NORTHBOUND_OPEN     
       11.40,LORTON TO I-395 N                                 ,      1136,3N-1 NB TP                                        ,     953410,19/07/26 15:00:00,19/07/26 14:55:00,4-1 NB TP                                         ,    954010,I-95-NB  ,951                                                                             ,19/07/26 14:50:00,NORTHBOUND_OPEN     
        4.70,FRAN-SPRINGFIELD PKWY TO I-495                    ,      1140,3N-4 NB TP                                        ,     953440,19/07/26 15:00:00,19/07/26 14:55:00,3N-6 NB TP                                        ,    953460,I-95-NB  ,951                                                                             ,19/07/26 14:50:00,NORTHBOUND_OPEN     
        8.10,FRAN-SPRINGFIELD PKWY TO I-395 N                  ,      1141,3N-4 NB TP                                        ,     953440,19/07/26 15:00:00,19/07/26 14:55:00,4-1 NB TP                                         ,    954010,I-95-NB  ,951                                                                             ,19/07/26 14:50:00,NORTHBOUND_OPEN     
        4.55,FAIRFAX COUNTY PKWY VIA I-95  TO I-495            ,      1142,3N-5 NB TP                                        ,     953450,19/07/26 15:00:00,19/07/26 14:55:00,3N-6 NB TP                                        ,    953460,I-95-NB  ,951                                                                             ,19/07/26 14:50:00,NORTHBOUND_OPEN     
        7.95,FAIRFAX COUNTY PKWY VIA I-95  TO I-395            ,      1143,3N-5 NB TP                                        ,     953450,19/07/26 15:00:00,19/07/26 14:55:00,4-1 NB TP                                         ,    954010,I-95-NB  ,951                                                                             ,19/07/26 14:50:00,NORTHBOUND_OPEN     
        3.25,FRANCONIA TO I-495                                ,      1144,3N-6 NB TP                                        ,     953460,19/07/26 15:00:00,19/07/26 14:55:00,3N-6 NB TP                                        ,    953460,I-95-NB  ,951                                                                             ,19/07/26 14:50:00,NORTHBOUND_OPEN     
        6.65,FRANCONIA TO I-395 N                              ,      1145,3N-6 NB TP                                        ,     953460,19/07/26 15:00:00,19/07/26 14:55:00,4-1 NB TP                                         ,    954010,I-95-NB  ,951                                                                             ,19/07/26 14:50:00,NORTHBOUND_OPEN     
        2.25,I-495 TO I-395 N                                  ,      1146,4-1 NB TP                                         ,     954010,19/07/26 15:00:00,19/07/26 14:55:00,4-1 NB TP                                         ,    954010,I-95-NB  ,951                                                                             ,19/07/26 14:50:00,NORTHBOUND_OPEN     
        1.85,TURKEYCOCK TO I-495                               ,      1147,4-1 SB TP                                         ,     954011,19/07/26 15:00:00,19/07/26 14:55:00,4-1 SB TP                                         ,    954011,I-95-SB  ,952                                                                             ,19/07/26 14:50:00,CLOSED              
        0.00,TURKEYCOCK TO FRANCONIA RD (644)                  ,      1148,4-1 SB TP                                         ,     954011,19/07/26 15:00:00,19/07/26 14:55:00,3N-6 SB TP                                        ,    953461,I-95-SB  ,952                                                                             ,19/07/26 14:50:00,CLOSED              
        0.00,TURKEYCOCK TO I-95S NR BACKLICK RD                ,      1149,4-1 SB TP                                         ,     954011,19/07/26 15:00:00,19/07/26 14:55:00,3N-5 SB TP                                        ,    953451,I-95-SB  ,952                                                                             ,19/07/26 14:50:00,CLOSED              
        5.00,TURKEYCOCK TO FRAN-SPRINGFIELD PKWY (289)         ,      1150,4-1 SB TP                                         ,     954011,19/07/26 15:00:00,19/07/26 14:55:00,3N-4 NB TP                                        ,    953441,I-95-SB  ,952                                                                             ,19/07/26 14:50:00,CLOSED              
        7.45,TURKEYCOCK TO US-1                                ,      1151,4-1 SB TP                                         ,     954011,19/07/26 15:00:00,19/07/26 14:55:00,3S-2 SB TP                                        ,    953321,I-95-SB  ,952                                                                             ,19/07/26 14:50:00,CLOSED              
        5.00,TURKEYCOCK TO GORDON BLVD (123)                   ,      1152,4-1 SB TP                                         ,     954011,19/07/26 15:00:00,19/07/26 14:55:00,3S-1 SB TP                                        ,    953311,I-95-SB  ,952                                                                             ,19/07/26 14:50:00,CLOSED              
        5.00,TURKEYCOCK TO PRINCE WILLIAM PKWY (294)           ,      1153,4-1 SB TP                                         ,     954011,19/07/26 15:00:00,19/07/26 14:55:00,2N-3 SB TP                                        ,    952431,I-95-SB  ,952                                                                             ,19/07/26 14:50:00,CLOSED              
        5.00,TURKEYCOCK TO  I-95 S NR DALE BLVD                ,      1154,4-1 SB TP                                         ,     954011,19/07/26 15:00:00,19/07/26 14:55:00,2N-2 SB TP                                        ,    952421,I-95-SB  ,952                                                                             ,19/07/26 14:50:00,CLOSED              
        5.00,TURKEYCOCK TO DUMFRIES RD (234)                   ,      1155,4-1 SB TP                                         ,     954011,19/07/26 15:00:00,19/07/26 14:55:00,2N-0 SB TP                                        ,    952401,I-95-SB  ,952                                                                             ,19/07/26 14:50:00,CLOSED              
        5.00,TURKEYCOCK TO JOPLIN RD (619)                     ,      1156,4-1 SB TP                                         ,     954011,19/07/26 15:00:00,19/07/26 14:55:00,2S-1 SB TP                                        ,    952311,I-95-SB  ,952                                                                             ,19/07/26 14:50:00,CLOSED              
        5.00,TURKEYCOCK TO GARRISONVILLE RD (610)              ,      1157,4-1 SB TP                                         ,     954011,19/07/26 15:00:00,19/07/26 14:55:00,1S-1 SB TP                                        ,    950011,I-95-SB  ,952                                                                             ,19/07/26 14:50:00,CLOSED              
        0.00,I-495 TO FRANCONIA RD (644)                       ,      1158,3N-6 SB TP                                        ,     953461,19/07/26 15:00:00,19/07/26 14:55:00,3N-6 SB TP                                        ,    953461,I-95-SB  ,952                                                                             ,19/07/26 14:50:00,CLOSED              
        0.00,I-495 TO  I-95S NR BACKLICK RD                    ,      1159,3N-6 SB TP                                        ,     953461,19/07/26 15:00:00,19/07/26 14:55:00,3N-5 SB TP                                        ,    953451,I-95-SB  ,952                                                                             ,19/07/26 14:50:00,CLOSED              
        2.45,I-495 TO FRAN-SPRINGFIELD PKWY (289)              ,      1160,3N-6 SB TP                                        ,     953461,19/07/26 15:00:00,19/07/26 14:55:00,3N-4 NB TP                                        ,    953441,I-95-SB  ,952                                                                             ,19/07/26 14:50:00,CLOSED              
        4.90,I-495 TO US-1                                     ,      1161,3N-6 SB TP                                        ,     953461,19/07/26 15:00:00,19/07/26 14:55:00,3S-2 SB TP                                        ,    953321,I-95-SB  ,952                                                                             ,19/07/26 14:50:00,CLOSED              
        2.45,I-495 TO GORDON BLVD (123)                        ,      1162,3N-6 SB TP                                        ,     953461,19/07/26 15:00:00,19/07/26 14:55:00,3S-1 SB TP                                        ,    953311,I-95-SB  ,952                                                                             ,19/07/26 14:50:00,CLOSED              
        2.45,I-495 TO PRINCE WILLIAM PKWY (294)                ,      1163,3N-6 SB TP                                        ,     953461,19/07/26 15:00:00,19/07/26 14:55:00,2N-3 SB TP                                        ,    952431,I-95-SB  ,952                                                                             ,19/07/26 14:50:00,CLOSED              
        2.45,I-495 TO I-95 S NR DALE BLVD                      ,      1164,3N-6 SB TP                                        ,     953461,19/07/26 15:00:00,19/07/26 14:55:00,2N-2 SB TP                                        ,    952421,I-95-SB  ,952                                                                             ,19/07/26 14:50:00,CLOSED              
        2.45,I-495 TO DUMFRIES RD (234)                        ,      1165,3N-6 SB TP                                        ,     953461,19/07/26 15:00:00,19/07/26 14:55:00,2N-0 SB TP                                        ,    952401,I-95-SB  ,952                                                                             ,19/07/26 14:50:00,CLOSED              
        2.45,I-495 TO JOPLIN RD (619)                          ,      1166,3N-6 SB TP                                        ,     953461,19/07/26 15:00:00,19/07/26 14:55:00,2S-1 SB TP                                        ,    952311,I-95-SB  ,952                                                                             ,19/07/26 14:50:00,CLOSED              
        2.45,I-495 TO GARRISONVILLE RD (610)                   ,      1167,3N-6 SB TP                                        ,     953461,19/07/26 15:00:00,19/07/26 14:55:00,1S-1 SB TP                                        ,    950011,I-95-SB  ,952                                                                             ,19/07/26 14:50:00,CLOSED              
        2.45,FRAN-SPRINGFIELD TO US-1                          ,      1168,3N-3 SB TP                                        ,     953431,19/07/26 15:00:00,19/07/26 14:55:00,3S-2 SB TP                                        ,    953321,I-95-SB  ,952                                                                             ,19/07/26 14:50:00,CLOSED              
        0.00,FRAN-SPRINGFIELD TO GORDON BLVD (123)             ,      1169,3N-3 SB TP                                        ,     953431,19/07/26 15:00:00,19/07/26 14:55:00,3S-1 SB TP                                        ,    953311,I-95-SB  ,952                                                                             ,19/07/26 14:50:00,CLOSED              
        0.00,FRAN-SPRINGFIELD TO PRINCE WILLIAM PKWY (294)     ,      1170,3N-3 SB TP                                        ,     953431,19/07/26 15:00:00,19/07/26 14:55:00,2N-3 SB TP                                        ,    952431,I-95-SB  ,952                                                                             ,19/07/26 14:50:00,CLOSED              
        0.00,FRAN-SPRINGFIELD TO I-95 S NR DALE BLVD           ,      1171,3N-3 SB TP                                        ,     953431,19/07/26 15:00:00,19/07/26 14:55:00,2N-2 SB TP                                        ,    952421,I-95-SB  ,952                                                                             ,19/07/26 14:50:00,CLOSED              
        0.00,FRAN-SPRINGFIELD TO DUMFRIES RD (234)             ,      1172,3N-3 SB TP                                        ,     953431,19/07/26 15:00:00,19/07/26 14:55:00,2N-0 SB TP                                        ,    952401,I-95-SB  ,952                                                                             ,19/07/26 14:50:00,CLOSED              
        0.00,FRAN-SPRINGFIELD TO JOPLIN RD (619)               ,      1173,3N-3 SB TP                                        ,     953431,19/07/26 15:00:00,19/07/26 14:55:00,2S-1 SB TP                                        ,    952311,I-95-SB  ,952                                                                             ,19/07/26 14:50:00,CLOSED              
        0.00,FRAN-SPRINGFIELD TO GARRISONVILLE RD (610)        ,      1174,3N-3 SB TP                                        ,     953431,19/07/26 15:00:00,19/07/26 14:55:00,1S-1 SB TP                                        ,    950011,I-95-SB  ,952                                                                             ,19/07/26 14:50:00,CLOSED              
        2.15,I-95 S / FT BELVOIR TO US-1                       ,      1175,3N-1 SB TP                                        ,     953411,19/07/26 15:00:00,19/07/26 14:55:00,3S-2 SB TP                                        ,    953321,I-95-SB  ,952                                                                             ,19/07/26 14:50:00,CLOSED              
        0.00,I-95 S / FT BELVOIR TO GORDON BLVD (123)          ,      1176,3N-1 SB TP                                        ,     953411,19/07/26 15:00:00,19/07/26 14:55:00,3S-1 SB TP                                        ,    953311,I-95-SB  ,952                                                                             ,19/07/26 14:50:00,CLOSED              
        0.00,I-95 S / FT BELVOIR TO PRINCE WILLIAM PKWY (294)  ,      1177,3N-1 SB TP                                        ,     953411,19/07/26 15:00:00,19/07/26 14:55:00,2N-3 SB TP                                        ,    952431,I-95-SB  ,952                                                                             ,19/07/26 14:50:00,CLOSED              
        0.00,I-95 S / FT BELVOIR TO I-95 S NR DALE BLVD        ,      1178,3N-1 SB TP                                        ,     953411,19/07/26 15:00:00,19/07/26 14:55:00,2N-2 SB TP                                        ,    952421,I-95-SB  ,952                                                                             ,19/07/26 14:50:00,CLOSED              
        0.00,I-95 S / FT BELVOIR TO DUMFRIES RD (234)          ,      1179,3N-1 SB TP                                        ,     953411,19/07/26 15:00:00,19/07/26 14:55:00,2N-0 SB TP                                        ,    952401,I-95-SB  ,952                                                                             ,19/07/26 14:50:00,CLOSED              
        0.00,I-95 S / FT BELVOIR TO JOPLIN RD (619)            ,      1180,3N-1 SB TP                                        ,     953411,19/07/26 15:00:00,19/07/26 14:55:00,2S-1 SB TP                                        ,    952311,I-95-SB  ,952                                                                             ,19/07/26 14:50:00,CLOSED              
        0.00,I-95 S / FT BELVOIR TO GARRISONVILLE RD (610)     ,      1181,3N-1 SB TP                                        ,     953411,19/07/26 15:00:00,19/07/26 14:55:00,1S-1 SB TP                                        ,    950011,I-95-SB  ,952                                                                             ,19/07/26 14:50:00,CLOSED              
        2.15,ALBAN TO US-1                                     ,      1182,3N-2 SB TP                                        ,     953421,19/07/26 15:00:00,19/07/26 14:55:00,3S-2 SB TP                                        ,    953321,I-95-SB  ,952                                                                             ,19/07/26 14:50:00,CLOSED              
        0.00,ALBAN TO GORDON BLVD (123)                        ,      1183,3N-2 SB TP                                        ,     953421,19/07/26 15:00:00,19/07/26 14:55:00,3S-1 SB TP                                        ,    953311,I-95-SB  ,952                                                                             ,19/07/26 14:50:00,CLOSED              
        0.00,ALBAN TO PRINCE WILLIAM PKWY (294)                ,      1184,3N-2 SB TP                                        ,     953421,19/07/26 15:00:00,19/07/26 14:55:00,2N-3 SB TP                                        ,    952431,I-95-SB  ,952                                                                             ,19/07/26 14:50:00,CLOSED              
        0.00,ALBAN TO I-95 S NR DALE BLVD                      ,      1185,3N-2 SB TP                                        ,     953421,19/07/26 15:00:00,19/07/26 14:55:00,2N-2 SB TP                                        ,    952421,I-95-SB  ,952                                                                             ,19/07/26 14:50:00,CLOSED              
        0.00,ALBAN TO DUMFRIES RD (234)                        ,      1186,3N-2 SB TP                                        ,     953421,19/07/26 15:00:00,19/07/26 14:55:00,2N-0 SB TP                                        ,    952401,I-95-SB  ,952                                                                             ,19/07/26 14:50:00,CLOSED              
        0.00,ALBAN TO JOPLIN RD (619)                          ,      1187,3N-2 SB TP                                        ,     953421,19/07/26 15:00:00,19/07/26 14:55:00,2S-1 SB TP                                        ,    952311,I-95-SB  ,952                                                                             ,19/07/26 14:50:00,CLOSED              
        0.00,ALBAN TO GARRISONVILLE RD (610)                   ,      1188,3N-2 SB TP                                        ,     953421,19/07/26 15:00:00,19/07/26 14:55:00,1S-1 SB TP                                        ,    950011,I-95-SB  ,952                                                                             ,19/07/26 14:50:00,CLOSED              
        0.00,LORTON TO GORDON BLVD (123)                       ,      1189,3S-1 SB TP                                        ,     953311,19/07/26 15:00:00,19/07/26 14:55:00,3S-1 SB TP                                        ,    953311,I-95-SB  ,952                                                                             ,19/07/26 14:50:00,CLOSED              
        0.00,LORTON TO PRINCE WILLIAM PKWY (294)               ,      1190,3S-1 SB TP                                        ,     953311,19/07/26 15:00:00,19/07/26 14:55:00,2N-3 SB TP                                        ,    952431,I-95-SB  ,952                                                                             ,19/07/26 14:50:00,CLOSED              
        0.00,LORTON TO I-95 S NR DALE BLVD                     ,      1191,3S-1 SB TP                                        ,     953311,19/07/26 15:00:00,19/07/26 14:55:00,2N-2 SB TP                                        ,    952421,I-95-SB  ,952                                                                             ,19/07/26 14:50:00,CLOSED              
        0.00,LORTON TO DUMFRIES RD (234)                       ,      1192,3S-1 SB TP                                        ,     953311,19/07/26 15:00:00,19/07/26 14:55:00,2N-0 SB TP                                        ,    952401,I-95-SB  ,952                                                                             ,19/07/26 14:50:00,CLOSED              
        0.00,LORTON TO JOPLIN RD (619)                         ,      1193,3S-1 SB TP                                        ,     953311,19/07/26 15:00:00,19/07/26 14:55:00,2S-1 SB TP                                        ,    952311,I-95-SB  ,952                                                                             ,19/07/26 14:50:00,CLOSED              
        0.00,LORTON TO GARRISONVILLE RD (610)                  ,      1194,3S-1 SB TP                                        ,     953311,19/07/26 15:00:00,19/07/26 14:55:00,1S-1 SB TP                                        ,    950011,I-95-SB  ,952                                                                             ,19/07/26 14:50:00,CLOSED              
        0.00,OPITZ TO DUMFRIES RD (234)                        ,      1195,2N-1 SB TP                                        ,     952411,19/07/26 15:00:00,19/07/26 14:55:00,2N-0 SB TP                                        ,    952401,I-95-SB  ,952                                                                             ,19/07/26 14:50:00,CLOSED              
